seed,scenario_id,true_error,true_weight,bp_iterations,candidate_count,baseline_qubits,baseline_confidence,baseline_logical_risk,baseline_exact,baseline_failure,qdsv_raw_qubits,qdsv_raw_confidence,qdsv_raw_logical_risk,qdsv_raw_exact,qdsv_raw_failure,qdsv_qubits,qdsv_confidence,qdsv_logical_risk,qdsv_exact,qdsv_failure,risk_delta,exact_delta,failure_delta,qdsv_guarded_qubits,qdsv_guarded_confidence,qdsv_guarded_logical_risk,qdsv_guarded_exact,qdsv_guarded_failure,guarded_risk_delta,guarded_exact_delta,guarded_failure_delta,raw_override_attempted,guarded_override_accepted,guarded_override_rejected,guarded_reason,raw_bad_override,guarded_bad_override,raw_successful_override,guarded_successful_override,qdsv_score_margin,uncertainty_low_qdsv_margin,uncertainty_low_decoder_margin,uncertainty_many_candidates,uncertainty_flag_count,evidence_insufficient_flag,timing_decode_ms,timing_candidate_ms,timing_qdsv_ms,timing_total_ms
260717,0,18,1,20,10,18,1000,41,True,False,18,1000,41,True,False,18,1000,41,True,False,0,0,0,18,1000,41,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,91.2100646853147,False,False,True,1,False,3.1367999999929452,47.06930000065768,2.431099999739672,59.15080000067974
260717,1,15,1,20,3,15,1000,41,True,False,15,1000,41,True,False,15,1000,41,True,False,0,0,0,15,1000,41,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,278.17810296282664,False,False,False,0,False,3.0457999991995166,45.458500000677304,0.9520000003249152,51.67340000025433
260717,2,10,1,20,11,10,1000,41,True,False,10,1000,41,True,False,10,1000,41,True,False,0,0,0,10,1000,41,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,230.73071792418102,False,False,True,1,False,2.884300000005169,40.87540000000445,2.098699999805831,47.704999999950815
260717,3,17,1,20,13,17,1000,41,True,False,17,1000,41,True,False,17,1000,41,True,False,0,0,0,17,1000,41,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,98.16872497239603,False,False,True,1,False,2.872699999898032,48.714900000049965,2.9712000005019945,56.542199999967124
260717,4,17,1,20,13,17,1000,41,True,False,17,1000,41,True,False,17,1000,41,True,False,0,0,0,17,1000,41,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,162.4542752116305,False,False,True,1,False,3.4605000000738073,42.97720000067784,3.3896000004460802,51.80579999978363
260717,5,2 5,2,20,6,19 20,1000,207,False,False,2 5,960,57,True,False,2 5,960,57,True,False,150,1,0,2 5,960,57,True,False,150,1,0,True,True,False,accept_guarded_override,False,False,True,True,40.012514170040504,False,False,False,0,False,2.9629999999087886,49.27310000039142,1.4055999999982305,55.61279999983526
260717,6,23,1,20,11,23,1000,41,True,False,23,1000,41,True,False,23,1000,41,True,False,0,0,0,23,1000,41,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,256.730521715127,False,False,True,1,False,4.231300000355986,50.03709999982675,5.143399999724352,61.54399999923044
260717,7,14,1,20,11,14,1000,41,True,False,14,1000,41,True,False,14,1000,41,True,False,0,0,0,14,1000,41,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,178.92516286345233,False,False,True,1,False,3.397399999812478,43.71570000057545,2.231499999652442,51.46280000008119
260717,8,15 19,2,20,11,4 16 20,1000,223,False,False,15 19,995,57,True,False,15 19,995,57,True,False,166,1,0,4 16 20,1000,223,False,False,0,0,0,True,False,True,reject_evidence_insufficient,False,False,True,False,53.766294350386374,False,True,True,2,True,3.245900000365509,45.5325000002631,2.1483999998963554,52.80799999945884
260717,9,7,1,20,7,7,1000,191,True,False,7,1000,191,True,False,7,1000,191,True,False,0,0,0,7,1000,191,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,77.10105800515282,False,False,False,0,False,2.935000000434229,47.865900000033434,1.5175999997154577,54.26840000018274
260717,10,0,1,20,11,0,1000,191,True,False,0,1000,191,True,False,0,1000,191,True,False,0,0,0,0,1000,191,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,126.81301972764072,False,False,True,1,False,2.9240000003483146,40.924400000221794,2.1176999998715473,48.87039999994158
260717,11,4 9,2,20,17,3 9 13,1000,73,False,False,4 9,990,57,True,False,4 9,990,57,True,False,16,1,0,3 9 13,1000,73,False,False,0,0,0,True,False,True,reject_evidence_insufficient,False,False,True,False,6.927538369525223,True,True,True,3,True,2.9008000001340406,43.187399999624176,2.98930000008113,50.85930000041117
260717,12,22,1,20,11,22,1000,191,True,False,22,1000,191,True,False,22,1000,191,True,False,0,0,0,22,1000,191,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,161.71608165255793,False,False,True,1,False,2.9586000000563217,39.145799999459996,2.083899999888672,45.9236000006058
260717,13,9 11,2,20,10,6 7 18,1000,373,False,False,9 11,933,207,True,False,9 11,933,207,True,False,166,1,0,6 7 18,1000,373,False,False,0,0,0,True,False,True,reject_evidence_insufficient,False,False,True,False,25.42237075818923,False,True,True,2,True,2.9588999996121856,39.252700000361074,1.9800000000032014,46.81749999963358
260717,14,16 19,2,20,10,16 19,1000,57,True,False,16 19,1000,57,True,False,16 19,1000,57,True,False,0,0,0,16 19,1000,57,True,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,59.66160535517122,False,False,True,1,False,2.879399999983434,40.210600000136765,2.75699999929202,47.67569999967236
260717,15,3 6,2,20,8,4 5 9,1000,73,False,False,4 5 9,1000,73,False,False,4 5 9,1000,73,False,False,0,0,0,4 5 9,1000,73,False,False,0,0,0,False,False,False,same_as_baseline,False,False,False,False,69.38066958041964,False,True,True,2,True,2.8683999998975196,40.775399999802175,1.7625000000407454,47.493000000031316
