seed,scenario_id,true_error,baseline_method,baseline_qubits,baseline_exact,baseline_failure,baseline_logical_risk,qdsv_method,qdsv_qubits,qdsv_exact,qdsv_failure,qdsv_logical_risk,risk_delta,exact_delta,failure_delta
410001,0,7 26 37,bp,19 37 43,False,True,61,bposd,7 26 37,True,False,196,-135,1,1
410001,1,23 32 34,bp,28 32 34 35 37 43 45,False,False,109,bposd,23 32 34,True,False,196,-87,1,0
410001,2,11 16 40,bp,11 40,False,False,184,bp,11 40,False,False,184,0,0,0
410001,3,2 42 46,bp,17 23 26 42 46,False,True,355,bposd,2 42 46,True,False,196,159,1,1
410001,4,8 32,bp,3 25,False,True,184,bp,3 25,False,True,184,0,0,0
410001,5,28 41 42,bp,16 41 42,False,False,61,bp,16 41 42,False,False,61,0,0,0
410001,6,20 27,bp,0 20 24 27,False,True,208,bposd,20 27,True,False,49,159,1,1
410001,7,5 35,bp,5 9 17 23 35,False,True,220,bposd,5 35,True,False,49,171,1,1
410001,8,29 34 40,bp,3 19 29 34 42,False,False,85,bposd,29 34 40,True,False,61,24,1,0
410001,9,1 14 41,bp,1 3 10 14 18 26 44,False,False,244,bposd,1 14 41,True,False,61,183,1,0
410001,10,3 29,bp,3,False,False,37,bp,3,False,False,37,0,0,0
410001,11,40 42,bp,,False,False,25,bp,,False,False,25,0,0,0
410001,12,3 14 26,bp,,False,True,25,bp,,False,True,25,0,0,0
410001,13,1 12,bp,12 13,False,True,319,bposd,1 12,True,False,184,135,1,1
410001,14,0 16 29,bp,0 29,False,False,49,bp,0 29,False,False,49,0,0,0
410001,15,2 32 34,bp,2 34 37,False,False,196,bp,2 34 37,False,False,196,0,0,0
410001,16,1 8 13,bp,1 8 47,False,True,196,bposd,1 8 13,True,False,196,0,1,1
410001,17,40 41,bp,19 24 40 42,False,True,208,bposd,40 41,True,False,49,159,1,1
410001,18,22 29 47,bp,47,False,False,172,bp,47,False,False,172,0,0,0
410001,19,6 20,bp,6 16 20,False,False,61,bposd,6 20,True,False,49,12,1,0
410001,20,1 12 45,bp,,False,True,25,bp,,False,True,25,0,0,0
410002,0,2 15 47,bp,24 29 33 36,False,False,208,bposd,2 15 47,True,False,61,147,1,0
410002,1,7 30,bp,6 18,False,True,49,bp,6 18,False,True,49,0,0,0
410002,2,5 30 41,bp,13 30,False,False,184,bposd,5 30 41,True,False,196,-12,1,0
410002,3,8 14 26,bp,8 32,False,True,184,bposd,8 14 26,True,False,61,123,1,1
410002,4,14 20 32,bp,4 14 15 20 22 27 32 41 45,False,False,538,bposd,14 20 32,True,False,331,207,1,0
410002,5,8 37,bp,,False,False,25,bposd,8 37,True,False,49,-24,1,0
410002,6,3 5 16,bp,30 37,False,True,184,bp,30 37,False,True,184,0,0,0
410002,7,25 36 37,bp,39,False,True,37,bp,39,False,True,37,0,0,0
410002,8,8 11 45,bp,0 2 5 27 28 29 45,False,False,244,bposd,8 11 45,True,False,61,183,1,0
410002,9,3 26 35,bp,3 26 39,False,True,196,bposd,3 26 35,True,False,331,-135,1,1
410002,10,24 29 33,bp,0 9 21 23 27 29 31,False,False,379,bposd,24 29 33,True,False,196,183,1,0
410002,11,5 10 39,bp,5 8 10 13 28 39 44,False,False,244,bposd,5 10 39,True,False,196,48,1,0
410002,12,20 22 43,bp,27 43,False,True,49,bp,27 43,False,True,49,0,0,0
410002,13,16 28 35,bp,8 35 41,False,False,196,bposd,16 28 35,True,False,196,0,1,0
410002,14,22 27 43,bp,0 8 20 40 43 44 45 46,False,False,391,bposd,22 27 43,True,False,61,330,1,0
410002,15,5 44 47,bp,47,False,False,37,bp,47,False,False,37,0,0,0
410003,0,11 28 29,bp,1 11 28 29 33,False,False,220,bposd,11 28 29,True,False,196,24,1,0
410003,1,12 44 47,bp,44,False,True,37,bp,44,False,True,37,0,0,0
410003,2,11 25,bp,28 35,False,True,184,bp,28 35,False,True,184,0,0,0
410003,3,31 45,bp,44 46,False,True,49,bposd,31 45,True,False,184,-135,1,1
410003,4,31 33,bp,20 31,False,True,319,bp,20 31,False,True,319,0,0,0
410003,5,10 27 33,bp,2 10 27 33,False,True,208,bposd,10 27 33,True,False,61,147,1,1
410003,6,12 18 23,bp,22 40,False,True,184,bposd,12 18 23,True,False,61,123,1,1
410003,7,16 18 24,bp,3 10 16 18 24 32,False,True,367,bposd,16 18 24,True,False,196,171,1,1
